,ort,plz,vorwahl
778,Baunach,96148,09544
779,Baunatal,34225,0561
780,Bausendorf,54538,06532
781,Baustert,54636,06561
782,Bautzen - Budyšin,2625,Error
783,Bawinkel,49844,05963
784,Bayerbach,94137,08532
785,Bayerbach b. Ergoldsbach,84092,08774
786,Bayerfeld-Steckweiler,67808,06357
787,Bayerfeld-Steckweiler,67822,06362
788,Bayerisch Eisenstein,94252,09925
789,Bayerisch Gmain,83457,08651
790,Bayreuth,95444,0921
791,Bayreuth,95445,0921
792,Bayreuth,95447,0921
793,Bayreuth,95448,0921
794,Bayrischzell,83735,08023
795,Bebensee,23816,04552
796,Bebra,36179,06622
797,Becheln,56132,02603
798,Bechenheim,55234,06737
799,Becherbach,67827,06364
800,Becherbach bei Kirn,55608,06752
801,Bechhofen,91572,09826
802,Bechhofen,66894,06372
803,Bechstedt,7426,Error
804,Bechtheim,67595,06244
805,Bechtolsheim,55234,06737
806,Bechtsrieth,92699,09659
807,Beckdorf,21643,04167
808,Beckedorf,31699,05725
809,Beckeln,27243,04244
810,Beckingen,66701,06835
811,Beckum,59269,02521
812,Bedburg,50181,02272
813,Bedburg-Hau,47551,02824
814,Bedesbach,66885,06381
815,Beedenbostel,29355,05145
816,Beelen,48361,02586
817,Beelitz,14547,033206
818,Beendorf,39343,039202
819,Beeskow,15848,03366
820,Beesten,49832,05902
821,Beetzendorf,38489,039000
822,Beetzsee,14778,03381
823,Beetzseeheide,14778,03381
824,Beggerow,17111,039994
825,Behlendorf,23919,04544
826,Behrendorf,25850,04843
827,Behrenhoff,17498,03834
828,Behren-Lübchin,17179,039971
829,Behrensdorf,24321,04381
830,Beidenfleth,25573,04829
831,Beiersdorf,2736,04269
832,Beiersdorf-Freudenberg,16259,033368
833,Beierstedt,38382,05354
834,Beilingen,54662,06562
835,Beilngries,92339,08461
836,Beilrode,4886,Error
837,Beilstein,71543,07130
838,Beilstein,71717,07062
839,Beilstein,56814,02671
840,Beimerstetten,89179,07348
841,Beindersheim,67259,06233
842,Beinerstadt,98660,036873
843,Beinhausen,54552,06592
844,Bekdorf,25554,04823
845,Bekmünde,25524,04821
846,Bekond,54340,06507
847,Belau,24601,04323
848,Beldorf,25557,04872
849,Beldorf,25767,04835
850,Belg,56858,Error
851,Belgern-Schildau,4874,Error
852,Belgern-Schildau,4889,Error
853,Belgershain,4683,Error
854,Belgweiler,55469,06761
855,Bell,56745,02655
856,Bellenberg,89287,07306
857,Bellheim,76756,07274
858,Bell (Hunsrück),56288,06762
859,Bellingen,56459,02663
860,Bellstedt,99713,036020
861,Belm,49191,05406
862,Belrieth,98617,03693
863,Belsch,19230,038852
864,Beltheim,56290,06746
865,Belum,21785,04752
866,Bempflingen,72658,07123
867,Bendestorf,21227,04183
868,Bendfeld,24217,04344
869,Bendorf,56170,02622
870,Bendorf,25557,04872
871,Benediktbeuern,83671,08857
872,Bengel,54538,06532
873,Bengerstorf,19258,038847
874,Benitz,18258,03844
875,Benndorf,6308,Error
876,Bennewitz,4828,02572
877,Bennhausen,67808,06357
878,Benningen,87734,08331
879,Benningen am Neckar,71726,07144
880,Bensdorf,14789,033839
881,Bensheim,64625,06251
882,Bentwisch,18182,0381
883,Bentzin,17129,039999
884,Benz,17429,038379
885,Benz,23970,03841
886,Benzweiler,55494,06764
887,Beratzhausen,93176,09492
888,Berching,92334,08460
889,Berchtesgaden,83471,08652
890,Bereborn,56769,02657
891,Berenbach,56766,02676
892,Berg,56357,06772
893,Berg,82335,08151
894,Berg,95180,09293
895,Berg,53505,02643
896,Berg,88276,0751
897,Berga,6536,06722
